Unnamed: 0,CODE,NAME,SECT._x,STOCK NO.,CAPT.,SECT._y
96,002170,삼양통상,"가죽, 가방 및 유사제품 제조업","3,000,000","15,000,000,000","섬유,의류,신발,호화품"
97,002200,한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업","4,000,000","20,000,000,000",포장재
98,002210,동성제약,의약품 제조업,"26,100,970","26,100,970,000",제약
99,002220,한일철강,1차 철강 제조업,"22,841,537","11,420,768,500",철강
100,002240,고려제강,1차 철강 제조업,"20,000,000","20,000,000,000",철강
101,002270,롯데푸드,낙농제품 및 식용빙과류 제조업,"1,131,870","5,659,350,000",식품
102,002310,아세아제지,"골판지, 종이 상자 및 종이용기 제조업","8,956,502","44,782,510,000",포장재
103,002320,한진,도로 화물 운송업,"11,974,656","59,873,280,000",항공화물운송과물류
104,002350,넥센타이어,고무제품 제조업,"97,667,877","54,083,938,500",자동차부품
105,002360,SH에너지화학,기초 화학물질 제조업,"111,133,730","55,566,865,000",화학
106,002380,케이씨씨,기타 화학제품 제조업,"8,886,471","48,084,660,000",건축자재
107,002390,한독,의약품 제조업,"13,763,533","6,881,766,500",제약
108,002410,범양건영,건물 건설업,"24,831,982","24,831,982,000",건설
109,002420,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업","407,592","2,037,960,000",방송과엔터테인먼트
110,002450,삼익악기,악기 제조업,"90,530,915","45,265,457,500",레저용장비와제품
111,002460,화성산업,건물 건설업,"12,450,800","62,254,000,000",건설
112,002600,조흥,기타 식품 제조업,"600,000","3,000,000,000",식품
114,002630,오리엔트바이오,의약품 제조업,"101,798,996","50,899,498,000",자동차부품
115,002690,동일제강,1차 철강 제조업,"15,000,000","7,500,000,000",철강
116,002700,신일전자,기계장비 및 관련 물품 도매업,"71,047,521","35,523,760,500",가정용기기와용품
117,002710,TCC스틸,1차 철강 제조업,"23,000,000","23,000,000,000",철강
118,002720,국제약품,의약품 제조업,"18,400,520","18,400,520,000",제약
119,002760,보락,기타 화학제품 제조업,"59,900,000","11,980,000,000",식품
120,002780,진흥기업,토목 건설업,"145,471,745","73,311,885,500",건설
121,002790,아모레퍼시픽그룹,기타 화학제품 제조업,"82,458,180","47,997,075,000",화장품
122,002810,삼영무역,기타 전문 도매업,"18,466,948","9,233,474,000",화학
123,002820,선창산업,나무제품 제조업,"12,607,989","12,607,989,000",종이와목재
