Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,2017.12,2018.12,2019.12,2020.12(E),2019.06,2019.09,2019.12,2020.03,2020.06,2020.09(E)
136,003080,성보화학,"비료, 농약 및 살균, 살충제 제조업","20,020,000","10,010,000,000",-28.0,3.0,-44.0,N/A,48.0,-16.0,-24.0,-51.0,58.0,N/A
138,003120,일성신약,의약품 제조업,"2,660,000","13,300,000,000",26.0,23.0,-13.0,N/A,-4.0,-6.0,1.0,1.0,-5,N/A
139,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","31,496,785","17,248,392,500",115.0,215.0,-65.0,N/A,-35.0,22.0,-32.0,-48.0,62.0,N/A
140,003200,일신방직,방적 및 가공사 제조업,"2,400,000","12,000,000,000",240.0,299.0,136.0,N/A,54.0,27.0,60.0,37.0,17.0,N/A
141,003220,대원제약,의약품 제조업,"20,243,603","10,121,801,500",253.0,307.0,351.0,382.0,79.0,84.0,84.0,104.0,101.0,83.0
142,003230,삼양식품,기타 식품 제조업,"7,533,015","37,665,075,000",433.0,552.0,783.0,1070.0,208.0,210.0,212.0,267.0,295.0,253.0
143,003240,태광산업,화학섬유 제조업,"1,113,400","5,567,000,000",2412.0,3315.0,2914.0,N/A,1216.0,721.0,411.0,411.0,137.0,N/A
144,003280,흥아해운,해상 운송업,"116,732,559","58,366,279,500",-130,-112,-124,N/A,-210.0,-115.0,259.0,-69.0,39.0,N/A
145,003300,한일홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업","5,994,356","31,342,450,000",1126.0,411.0,836.0,N/A,-50.0,532.0,176.0,179.0,-8.0,N/A
146,003350,한국화장품제조,기타 화학제품 제조업,"4,532,000","2,266,000,000",29.0,48.0,13.0,N/A,15.0,-9.0,3.0,8.0,-4.0,N/A
147,003410,쌍용양회공업,"시멘트, 석회, 플라스터 및 그 제품 제조업","503,859,595","505,403,280,000",2509.0,2469.0,2284.0,2495.0,844.0,530.0,696.0,307.0,907.0,566.0
150,003480,한진중공업홀딩스,연료용 가스 제조 및 배관공급업,"29,529,812","155,149,060,000",-618,277,384,N/A,216.0,-45.0,23.0,190.0,244.0,N/A
151,003490,대한항공,항공 여객 운송업,"174,209,713","876,602,535,000",9398.0,6712.0,2575,1742,-986.0,964.0,1191.0,-828.0,1102.0,630.0
152,003520,영진약품,의약품 제조업,"182,892,731","91,446,365,500",30,-22,100.0,N/A,45.0,37.0,-4.0,25.0,14.0,N/A
156,003560,아이에이치큐,"영화, 비디오물, 방송프로그램 제작 및 배급업","146,235,748","73,117,874,000",153,99.0,-70,N/A,-1.0,-52.0,-23.0,-87.0,-21.0,N/A
157,003570,S&T중공업,자동차 신품 부품 제조업,"33,252,697","85,631,742,500",-375,161.0,192.0,N/A,38.0,27.0,85.0,37.0,34.0,N/A
158,003580,넥스트사이언스,기타 비금속광물 광업,"32,012,942","16,006,471,000",-5,-40,-44,N/A,-37.0,-45.0,-43.0,81.0,-32.0,N/A
159,003610,방림,직물직조 및 직물제품 제조업,"42,314,090","21,157,045,000",63.0,19.0,21.0,N/A,8.0,2.0,16.0,-,-12.0,N/A
160,003620,쌍용자동차,자동차용 엔진 및 자동차 제조업,"149,840,002","749,200,010,000",-653,-642,-2819,N/A,-278.0,-491.0,-1052.0,-998.0,-986.0,N/A
161,003650,미창석유공업,석유 정제품 제조업,"1,739,672","8,698,360,000",136.0,126.0,175.0,N/A,45.0,36.0,51.0,51.0,56.0,N/A
162,003670,포스코케미칼,"내화, 비내화 요업제품 제조업","60,988,220","30,494,110,000",1040.0,1063.0,899.0,710.0,167.0,280.0,232.0,160.0,41.0,218.0
163,003680,한성기업,수산물 가공 및 저장 처리업,"6,209,515","31,047,575,000",67.0,8,-83,N/A,12.0,4.0,-113.0,17.0,33.0,N/A
164,003690,코리안리,재 보험업,"120,369,116","60,184,558,000",1756.0,1436.0,2498.0,2350.0,842.0,881.0,507.0,268.0,552.0,N/A
165,003720,삼영화학공업,플라스틱제품 제조업,"34,000,000","17,000,000,000",-138,-63,-9,N/A,-5.0,-2.0,-8.0,6.0,4.0,N/A
166,003780,진양산업,플라스틱제품 제조업,"13,000,000","6,500,000,000",18.0,30.0,91.0,N/A,23.0,26.0,25.0,20.0,21.0,N/A
167,003830,대한화섬,화학섬유 제조업,"1,328,000","6,640,000,000",57.0,22.0,49.0,N/A,16.0,19.0,3.0,36.0,3.0,N/A
168,003850,보령제약,의약품 제조업,"47,620,000","23,810,000,000",10.0,250.0,391.0,411.0,114.0,119.0,64.0,134.0,97.0,106.0
169,003920,남양유업,낙농제품 및 식용빙과류 제조업,"720,000","4,433,310,000",51.0,86.0,4.0,N/A,6.0,-9.0,-6.0,-206.0,-120.0,N/A
170,003960,사조대림,수산물 가공 및 저장 처리업,"9,164,467","45,822,335,000",554.0,363.0,496.0,N/A,38.0,96.0,227.0,135.0,90.0,N/A
171,004000,롯데정밀화학,기초 화학물질 제조업,"25,800,000","129,000,000,000",1111.0,2107.0,1897.0,1574.0,377.0,522.0,514.0,484.0,510.0,354.0
172,004020,현대제철,1차 철강 제조업,"133,445,785","667,228,925,000",13676.0,10261.0,3313.0,1227.0,2124.0,2326.0,341.0,-1479.0,-297.0,-212.0
173,004060,SG세계물산,상품 종합 도매업,"202,424,960","101,212,480,000",-67,39,5,N/A,-21.0,59.0,-73.0,-40.0,-68.0,N/A
174,004080,신흥,기계장비 및 관련 물품 도매업,"9,600,000","6,733,070,000",40.0,11.0,30.0,N/A,4.0,9.0,14.0,17.0,6.0,N/A
175,004090,한국석유공업,기타 비금속 광물제품 제조업,"655,200","3,276,000,000",142.0,83.0,61.0,N/A,27.0,19.0,-2.0,20.0,60.0,N/A
176,004100,태양금속공업,자동차 신품 부품 제조업,"36,700,000","20,000,000,000",100.0,72.0,-176.0,N/A,-24.0,-24.0,-131.0,-3.0,-38.0,N/A
