Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,CUR PRICE,PREV PRICE,FR,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
139,003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","31,496,785","17,248,392,500",3755.0,3900.0,N/A,13.18,285.0,N/A,N/A,0.75,4988.0,1.33
140,003200,일신방직,방적 및 가공사 제조업,"2,400,000","12,000,000,000",66900.0,66100.0,N/A,19.4,3448.0,N/A,N/A,0.22,310767.0,2.24
141,003220,대원제약,의약품 제조업,"20,243,603","10,121,801,500",19750.0,20850.0,N/A,13.83,1428.0,N/A,N/A,1.91,10325.0,1.28
142,003230,삼양식품,기타 식품 제조업,"7,533,015","37,665,075,000",111000.0,111000.0,N/A,11.12,9985.0,10.0,10994.0,2.6,42733.0,0.72
143,003240,태광산업,화학섬유 제조업,"1,113,400","5,567,000,000",670000.0,668000.0,N/A,5.72,117109.0,N/A,N/A,0.17,3932846.0,0.23
144,003280,흥아해운,해상 운송업,"116,732,559","58,366,279,500",258.0,258.0,N/A,N/A,-496.0,N/A,N/A,1.05,246.0,N/A
145,003300,한일홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업","5,994,356","31,342,450,000",45200.0,44950.0,N/A,10.69,4229.0,N/A,N/A,0.28,163851.0,5.09
146,003350,한국화장품제조,기타 화학제품 제조업,"4,532,000","2,266,000,000",43500.0,45950.0,N/A,N/A,-219.0,N/A,N/A,3.21,13552.0,0.23
147,003410,쌍용양회공업,"시멘트, 석회, 플라스터 및 그 제품 제조업","503,859,595","505,403,280,000",5590.0,5580.0,N/A,21.09,265.0,19.0,301.0,1.61,3474.0,7.51
150,003480,한진중공업홀딩스,연료용 가스 제조 및 배관공급업,"29,529,812","155,149,060,000",3215.0,3200.0,N/A,2.91,1104.0,N/A,N/A,0.24,13224.0,N/A
151,003490,대한항공,항공 여객 운송업,"174,209,713","876,602,535,000",17900.0,17550.0,N/A,N/A,-6714.0,-4.0,-4024.0,0.98,18238.0,N/A
152,003520,영진약품,의약품 제조업,"182,892,731","91,446,365,500",6320.0,6210.0,N/A,486.15,13.0,N/A,N/A,9.77,647.0,N/A
156,003560,아이에이치큐,"영화, 비디오물, 방송프로그램 제작 및 배급업","146,235,748","73,117,874,000",1415.0,1385.0,N/A,N/A,-497.0,N/A,N/A,1.56,909.0,N/A
157,003570,S&T중공업,자동차 신품 부품 제조업,"33,252,697","85,631,742,500",4960.0,4910.0,N/A,10.93,454.0,N/A,N/A,0.21,23900.0,6.05
158,003580,넥스트사이언스,기타 비금속광물 광업,"32,012,942","16,006,471,000",5020.0,5020.0,N/A,N/A,-784.0,N/A,N/A,1.75,2866.0,N/A
159,003610,방림,직물직조 및 직물제품 제조업,"42,314,090","21,157,045,000",1900.0,1985.0,N/A,15.45,123.0,N/A,N/A,0.39,4921.0,2.11
160,003620,쌍용자동차,자동차용 엔진 및 자동차 제조업,"149,840,002","749,200,010,000",3580.0,3350.0,N/A,N/A,-3395.0,N/A,N/A,2.56,1401.0,N/A
161,003650,미창석유공업,석유 정제품 제조업,"1,739,672","8,698,360,000",58500.0,58700.0,N/A,5.35,10930.0,N/A,N/A,0.33,174669.0,3.42
162,003670,포스코케미칼,"내화, 비내화 요업제품 제조업","60,988,220","30,494,110,000",88500.0,87400.0,N/A,104.36,848.0,105.0,841.0,5.51,16076.0,0.45
163,003680,한성기업,수산물 가공 및 저장 처리업,"6,209,515","31,047,575,000",14300.0,14500.0,N/A,N/A,-2303.0,N/A,N/A,1.58,9054.0,N/A
164,003690,코리안리,재 보험업,"120,369,116","60,184,558,000",7030.0,7080.0,N/A,5.09,1380.0,N/A,N/A,0.32,22047.0,7.11
165,003720,삼영화학공업,플라스틱제품 제조업,"34,000,000","17,000,000,000",1710.0,1700.0,N/A,N/A,-31.0,N/A,N/A,1.32,1295.0,N/A
166,003780,진양산업,플라스틱제품 제조업,"13,000,000","6,500,000,000",3480.0,3495.0,N/A,6.6,527.0,N/A,N/A,1.07,3257.0,5.75
167,003830,대한화섬,화학섬유 제조업,"1,328,000","6,640,000,000",83900.0,82700.0,N/A,6.19,13549.0,N/A,N/A,0.17,484433.0,0.49
168,003850,보령제약,의약품 제조업,"47,620,000","23,810,000,000",15800.0,15450.0,N/A,25.2,627.0,N/A,N/A,2.15,7347.0,0.63
169,003920,남양유업,낙농제품 및 식용빙과류 제조업,"720,000","4,433,310,000",270000.0,270000.0,N/A,N/A,-25966.0,N/A,N/A,0.26,1045388.0,0.37
170,003960,사조대림,수산물 가공 및 저장 처리업,"9,164,467","45,822,335,000",14050.0,13750.0,N/A,1.44,9782.0,N/A,N/A,0.33,42880.0,1.07
171,004000,롯데정밀화학,기초 화학물질 제조업,"25,800,000","129,000,000,000",45500.0,41650.0,N/A,6.88,6612.0,7.0,6848.0,0.78,58617.0,3.74
172,004020,현대제철,1차 철강 제조업,"133,445,785","667,228,925,000",25400.0,25200.0,N/A,N/A,-1590.0,-30.0,-844.0,0.2,124463.0,2.95
173,004060,SG세계물산,상품 종합 도매업,"202,424,960","101,212,480,000",563.0,542.0,N/A,21.65,26.0,N/A,N/A,0.58,969.0,N/A
174,004080,신흥,기계장비 및 관련 물품 도매업,"9,600,000","6,733,070,000",9100.0,9100.0,N/A,11.06,823.0,N/A,N/A,0.93,9810.0,2.2
175,004090,한국석유공업,기타 비금속 광물제품 제조업,"655,200","3,276,000,000",95900.0,94000.0,N/A,N/A,-12040.0,N/A,N/A,0.42,225941.0,1.56
176,004100,태양금속공업,자동차 신품 부품 제조업,"36,700,000","20,000,000,000",986.0,974.0,N/A,N/A,-479.0,N/A,N/A,0.55,1809.0,0.51
177,004140,동방,기타 운송관련 서비스업,"34,636,700","34,636,700,000",1855.0,1865.0,N/A,N/A,-775.0,N/A,N/A,0.77,2410.0,N/A
179,004170,신세계,종합 소매업,"9,845,181","49,225,905,000",206000.0,205000.0,N/A,N/A,-14384.0,-123.0,-1675.0,0.53,386376.0,0.97
180,004250,엔피씨,플라스틱제품 제조업,"36,720,000","21,000,000,000",3040.0,3010.0,N/A,9.27,328.0,N/A,N/A,0.44,6913.0,3.29
181,004270,남성,기타 전문 도매업,"36,212,160","18,106,080,000",2445.0,2310.0,N/A,N/A,-125.0,N/A,N/A,0.89,2762.0,1.02
182,004310,현대약품,의약품 제조업,"32,000,000","16,000,000,000",5880.0,6040.0,N/A,59.39,99.0,N/A,N/A,1.87,3152.0,0.76
183,004360,세방,도로 화물 운송업,"19,308,690","11,498,970,000",9780.0,9750.0,N/A,25.47,384.0,N/A,N/A,0.26,37507.0,1.79
184,004370,농심,기타 식품 제조업,"6,082,642","30,413,210,000",361000.0,363500.0,N/A,17.96,20099.0,16.0,22618.0,1.04,346917.0,1.11
185,004380,삼익THK,일반 목적용 기계 제조업,"21,000,000","10,500,000,000",10000.0,9720.0,N/A,36.9,271.0,N/A,N/A,1.1,9113.0,1.5
186,004410,서울식품공업,기타 식품 제조업,"337,410,000","33,963,450,000",147.0,147.0,N/A,N/A,-5.0,N/A,N/A,1.99,74.0,N/A
187,004430,송원산업,기타 화학제품 제조업,"24,000,000","12,000,000,000",11600.0,11700.0,N/A,9.48,1223.0,N/A,N/A,0.62,18568.0,1.29
188,004440,대림씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업","12,731,947","12,731,947,000",7700.0,7660.0,N/A,43.75,176.0,N/A,N/A,0.35,21956.0,0.49
189,004450,삼화왕관,기타 금속 가공제품 제조업,"2,154,379","10,771,895,000",39750.0,39200.0,N/A,8.89,4473.0,N/A,N/A,0.51,78222.0,3.4
190,004490,세방전지,일차전지 및 축전지 제조업,"14,000,000","7,000,000,000",27950.0,27650.0,N/A,5.06,5520.0,N/A,N/A,0.34,81045.0,1.79
191,004540,깨끗한나라,"펄프, 종이 및 판지 제조업","37,240,693","37,606,853,000",4355.0,4480.0,N/A,4.33,1005.0,N/A,N/A,0.88,4927.0,N/A
192,004560,현대비앤지스틸,1차 철강 제조업,"15,078,811","75,943,315,000",7250.0,7220.0,N/A,7.32,990.0,N/A,N/A,0.27,26834.0,1.38
193,004690,삼천리,연료용 가스 제조 및 배관공급업,"4,055,025","20,275,125,000",76900.0,75200.0,N/A,23.1,3329.0,N/A,N/A,0.2,379521.0,3.9
194,004700,조광피혁,"가죽, 가방 및 유사제품 제조업","6,649,138","34,245,690,000",49300.0,48850.0,N/A,24.38,2022.0,N/A,N/A,0.64,76953.0,N/A
195,004710,한솔테크닉스,전자부품 제조업,"32,109,878","160,549,390,000",8230.0,8180.0,N/A,18.49,445.0,N/A,N/A,0.91,9069.0,N/A
196,004720,우리들제약,의약품 제조업,"13,706,224","6,853,112,000",21000.0,26350.0,N/A,N/A,-35.0,N/A,N/A,4.11,5104.0,N/A
197,004770,써니전자,반도체 제조업,"34,845,011","18,372,505,500",3840.0,3785.0,N/A,27.04,142.0,N/A,N/A,2.21,1741.0,N/A
199,004830,덕성,플라스틱제품 제조업,"15,680,000","8,536,000,000",5250.0,5430.0,N/A,52.5,100.0,N/A,N/A,1.27,4150.0,0.38
