CODE,NAME,SECT.,STOCK NO.,CAPT.,CUR PRICE,PREV PRICE,FR,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
126870,뉴로스,일반 목적용 기계 제조업,"24,305,785","12,152,892,500",,,,N/A,-786,N/A,N/A,0.86,3110,N/A
126880,제이엔케이히터,일반 목적용 기계 제조업,"22,823,225","11,411,612,500",,,,18.57,400,N/A,N/A,1.79,4153,N/A
127120,디엔에이링크,자연과학 및 공학 연구개발업,"13,268,377","6,634,188,500",,,,N/A,-1092,N/A,N/A,13.21,897,N/A
127160,매직마이크로,전자부품 제조업,"64,669,972","6,466,997,200",,,,N/A,-288,N/A,N/A,0.58,861,N/A
127710,아시아경제,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","25,508,734","12,754,367,000",,,,217.86,7,N/A,N/A,0.38,3984,N/A
128540,에코캡,자동차 신품 부품 제조업,"14,558,800","1,455,880,000",,,,N/A,-5,N/A,N/A,0.6,4837,N/A
128660,피제이메탈,1차 비철금속 제조업,"24,803,369","12,401,684,500",,,,34.75,60,N/A,N/A,1.34,1559,4.8
130500,GH신소재,기타 섬유제품 제조업,"11,000,000","5,500,000,000",,,,27.68,138,N/A,N/A,0.96,3978,N/A
130580,나이스디앤비,기타 사업지원 서비스업,"15,400,000","7,700,000,000",,,,16.78,751,N/A,N/A,3.56,3542,1.39
130740,티피씨글로벌,자동차 신품 부품 제조업,"10,324,479","5,162,239,500",,,,N/A,-366,N/A,N/A,0.42,5682,0.85
131030,디에이치피코리아,의약품 제조업,"16,564,797","8,282,398,500",,,,8.78,926,N/A,N/A,1.2,6758,1.23
131090,시큐브,소프트웨어 개발 및 공급업,"40,000,000","4,000,000,000",,,,14.77,129,N/A,N/A,2.26,844,0.5
131100,스카이이앤엠,상품 종합 도매업,"29,269,084","2,926,908,400",,,,N/A,-656,N/A,N/A,2.66,948,N/A
131180,딜리,컴퓨터 및 주변장치 제조업,"29,350,000","2,935,000,000",,,,17.56,86,N/A,N/A,0.73,2080,2.65
131220,대한과학,기계장비 및 관련 물품 도매업,"7,454,490","3,727,245,000",,,,35.62,162,N/A,N/A,1.55,3721,1.04
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","11,061,429","5,530,714,500",,,,15.63,2469,N/A,N/A,2.3,16760,0.52
131370,알서포트,소프트웨어 개발 및 공급업,"53,267,083","5,326,708,300",,,,N/A,-278,N/A,N/A,12.97,790,0.19
131390,피앤이솔루션,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","14,818,910","7,409,455,000",,,,16.2,1389,15,1480,3.79,5935,N/A
131400,액트,전자부품 제조업,"22,891,045","11,445,522,500",,,,N/A,-103,N/A,N/A,2.16,2371,N/A
131760,파인텍,특수 목적용 기계 제조업,"42,924,063","21,462,031,500",,,,N/A,-7,N/A,N/A,1.23,1436,N/A
131970,테스나,"그외 기타 전문, 과학 및 기술 서비스업","7,424,141","3,712,070,500",,,,30.63,2951,N/A,N/A,4.33,20887,0.22
133750,메가엠디,일반 교습 학원,"23,097,077","11,548,538,500",,,,76.07,42,N/A,N/A,1.23,2608,1.57
134060,이퓨쳐,"서적, 잡지 및 기타 인쇄물 출판업","4,769,250","2,384,625,000",,,,19.59,294,N/A,N/A,1.41,4092,N/A
134580,디엠티,통신 및 방송 장비 제조업,"11,250,000","5,625,000,000",,,,N/A,-478,N/A,N/A,0.82,2083,N/A
136480,하림,"도축, 육류 가공 및 저장 처리업","106,209,702","53,104,851,000",,,,N/A,-541,N/A,N/A,1.13,2449,N/A
136510,쎄미시스코,특수 목적용 기계 제조업,"5,637,679","2,818,839,500",,,,N/A,-991,N/A,N/A,1.9,4637,N/A
136540,윈스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","12,149,063","6,074,531,500",,,,11.24,1548,N/A,N/A,1.7,10261,2.01
137400,피엔티,특수 목적용 기계 제조업,"21,715,464","10,857,732,000",,,,372.73,44,N/A,N/A,3.48,4716,N/A
137940,넥스트아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","77,116,173","7,927,357,300",,,,N/A,-74,N/A,N/A,1.49,1072,N/A
137950,제이씨케미칼,기타 화학제품 제조업,"22,267,814","11,133,907,000",,,,23.73,236,N/A,N/A,1.42,3954,1.07
138070,신진에스엠,기타 금속 가공제품 제조업,"8,972,183","4,486,091,500",,,,22.51,239,N/A,N/A,0.67,8069,1.3
138080,오이솔루션,통신 및 방송 장비 제조업,"10,624,095","5,312,047,500",,,,18.9,3625,34,2026,5.37,12748,0.58
138360,에이씨티,기타 화학제품 제조업,"23,361,984","11,680,992,000",,,,43.5,103,N/A,N/A,2.47,1816,N/A
138580,비즈니스온,소프트웨어 개발 및 공급업,"9,544,940","4,772,470,000",,,,39.11,404,N/A,N/A,4.56,3465,1.8
138610,나이벡,의료용품 및 기타 의약 관련제품 제조업,"9,902,979","4,951,489,500",,,,N/A,-245,N/A,N/A,8.59,2771,N/A
138690,엘아이에스,특수 목적용 기계 제조업,"16,026,971","8,013,485,500",,,,24.18,378,N/A,N/A,2.89,3168,N/A
139050,데일리블록체인,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","52,853,345","26,426,672,500",,,,N/A,-278,N/A,N/A,1.38,385,N/A
139670,키네마스터,소프트웨어 개발 및 공급업,"13,546,307","6,773,153,500",,,,140.12,86,N/A,N/A,11.99,1005,N/A
140070,서플러스글로벌,기계장비 및 관련 물품 도매업,"36,988,000","3,698,800,000",,,,40.42,83,N/A,N/A,0.95,3523,N/A
140410,메지온,자연과학 및 공학 연구개발업,"8,705,952","4,352,976,000",,,,N/A,-2574,N/A,N/A,40.09,4385,N/A
140520,대창스틸,1차 철강 제조업,"20,000,000","10,000,000,000",,,,413,5,N/A,N/A,0.45,4594,4.84
