,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
20,유유제약1우,000225,20300.0,27.66,734.0,N/A,N/A,1.62,12500.0,1.08
21,유유제약2우B,000227,62000.0,84.47,734.0,N/A,N/A,4.96,12500.0,0.35
22,일동홀딩스,000230,9270.0,N/A,-2762.0,N/A,N/A,0.79,11728.0,1.03
23,한국테크놀로지그룹,000240,13500.0,8.92,1514.0,11.0,1250.0,0.38,35887.0,2.59
24,기아차,000270,41950.0,11.78,3561.0,12.0,3562.0,0.59,71692.0,2.74
25,대유플러스,000300,623.0,2.65,235.0,N/A,N/A,0.81,768.0,N/A
26,노루홀딩스,000320,9240.0,14.53,636.0,N/A,N/A,0.26,35132.0,4.33
27,노루홀딩스우,000325,19100.0,30.03,636.0,N/A,N/A,0.54,35132.0,2.12
28,한화손해보험,000370,2735.0,N/A,-403.0,N/A,N/A,0.18,14801.0,N/A
29,삼화페인트,000390,5210.0,27.86,187.0,N/A,N/A,0.42,12385.0,2.4
30,롯데손해보험,000400,1690.0,N/A,-146.0,N/A,N/A,0.55,3068.0,N/A
31,대원강업,000430,3195.0,22.66,141.0,N/A,N/A,0.42,7551.0,3.6
32,조선내화,000480,75500.0,18.5,4081.0,N/A,N/A,0.43,176356.0,5.3
33,대동공업,000490,7270.0,34.13,213.0,N/A,N/A,0.67,10855.0,0.82
34,가온전선,000500,16600.0,12.28,1352.0,N/A,N/A,0.26,64821.0,3.61
35,삼일제약,000520,25650.0,116.59,220.0,N/A,N/A,2.48,10361.0,0.58
36,흥국화재,000540,2230.0,5.48,407.0,N/A,N/A,0.21,10709.0,N/A
37,흥국화재우,000545,6070.0,14.91,407.0,N/A,N/A,0.57,10709.0,N/A
38,흥국화재2우B,000547,23900.0,58.72,407.0,N/A,N/A,2.23,10709.0,N/A
39,CS홀딩스,000590,62500.0,6.09,10268.0,N/A,N/A,0.31,199618.0,0.8
40,동아쏘시오홀딩스,000640,107500.0,22.96,4682.0,N/A,N/A,0.88,122712.0,0.93
41,천일고속,000650,61400.0,N/A,-1305.0,N/A,N/A,1.84,33382.0,8.14
42,SK하이닉스,000660,81100.0,37.88,2141.0,14.0,5870.0,1.15,70513.0,1.23
43,영풍,000670,539000.0,4.01,134345.0,N/A,N/A,0.28,1919580.0,1.86
44,LS네트웍스,000680,2200.0,N/A,-1104.0,N/A,N/A,0.31,7004.0,N/A
45,유수홀딩스,000700,5540.0,23.08,240.0,N/A,N/A,0.6,9162.0,N/A
46,현대건설,000720,34550.0,8.84,3907.0,9.0,3792.0,0.57,60551.0,1.74
47,현대건설우,000725,243000.0,62.2,3907.0,64.0,3792.0,4.01,60551.0,0.27
48,이화산업,000760,14400.0,N/A,-1325.0,N/A,N/A,0.4,36374.0,N/A
49,삼성화재,000810,166500.0,14.27,11666.0,11.0,15237.0,0.52,321285.0,5.11
50,삼성화재우,000815,119500.0,10.24,11666.0,8.0,15237.0,0.37,321285.0,7.12
51,화천기공,000850,31900.0,9.83,3245.0,N/A,N/A,0.23,136013.0,3.92
52,강남제비스코,000860,15150.0,7.74,1958.0,N/A,N/A,0.19,80662.0,3.3
53,한화,000880,25250.0,21.02,1201.0,9.0,2680.0,0.53,47901.0,2.77
54,한화우,000885,61000.0,50.79,1201.0,23.0,2680.0,1.27,47901.0,1.23
