CODE,NAME,SECT.,STOCK NO.,CAPT.
10640,진양폴리우레탄,플라스틱제품 제조업,"10,000,000","5,000,000,000"
10660,화천기계,특수 목적용 기계 제조업,"22,000,000","11,000,000,000"
10690,화신,자동차 신품 부품 제조업,"34,920,410","17,460,205,000"
10770,평화홀딩스,자동차 신품 부품 제조업,"14,625,466","7,312,733,000"
10780,아이에스동서,"내화, 비내화 요업제품 제조업","30,892,606","15,446,303,000"
10820,퍼스텍,무기 및 총포탄 제조업,"48,061,460","24,030,730,000"
10950,S-Oil,석유 정제품 제조업,"112,582,792","291,511,797,500"
10960,삼호개발,기반조성 및 시설물 축조관련 전문공사업,"25,000,000","12,500,000,000"
11000,진원생명과학,의약품 제조업,"44,618,808","44,618,808,000"
11070,LG이노텍,전자부품 제조업,"23,667,107","118,335,535,000"
11090,에넥스,가구 제조업,"59,991,641","29,995,820,500"
11150,CJ씨푸드,기타 식품 제조업,"35,930,773","18,065,386,500"
11170,롯데케미칼,기초 화학물질 제조업,"34,275,419","171,377,095,000"
11200,HMM,해상 운송업,"326,726,323","1,633,631,615,000"
11210,현대위아,자동차 신품 부품 제조업,"27,195,083","135,975,415,000"
11230,삼화전자공업,영상 및 음향기기 제조업,"10,457,940","10,457,940,000"
11280,태림포장,"골판지, 종이 상자 및 종이용기 제조업","70,805,940","35,402,970,000"
11300,성안,직물직조 및 직물제품 제조업,"56,857,860","28,428,930,000"
11330,유니켐,"가죽, 가방 및 유사제품 제조업","68,710,343","34,355,171,500"
11390,부산산업,"시멘트, 석회, 플라스터 및 그 제품 제조업","1,056,000","5,280,000,000"
11420,갤럭시아에스엠,스포츠 서비스업,"27,549,644","13,774,822,000"
11500,한농화성,기타 화학제품 제조업,"15,637,042","7,818,521,000"
11690,유양디앤유,반도체 제조업,"58,494,201","29,247,100,500"
11700,한신기계공업,일반 목적용 기계 제조업,"32,446,151","16,223,075,500"
11760,현대종합상사,상품 종합 도매업,"13,228,966","66,144,830,000"
11780,금호석유화학,기초 화학물질 제조업,"30,467,691","167,455,885,000"
11790,SKC,기타 화학제품 제조업,"37,534,555","187,672,775,000"
11810,STX,상품 종합 도매업,"19,726,902","49,317,255,000"
11930,신성이엔지,반도체 제조업,"184,525,352","92,372,676,000"
12030,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","201,173,933","100,586,966,500"
12160,영흥,1차 철강 제조업,"85,826,509","42,913,254,500"
12170,키위미디어그룹,"영화, 비디오물, 방송프로그램 제작 및 배급업","197,284,650","98,642,325,000"
12200,계양전기,일반 목적용 기계 제조업,"32,600,000","17,000,000,000"
12280,영화금속,자동차 신품 부품 제조업,"45,451,006","23,597,333,000"
12330,현대모비스,자동차 신품 부품 제조업,"95,054,694","490,969,315,000"
12450,한화에어로스페이스,"항공기,우주선 및 부품 제조업","50,630,000","265,650,000,000"
12510,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","29,672,700","14,836,350,000"
12600,청호컴넷,일반 목적용 기계 제조업,"8,576,351","42,881,755,000"
12610,경인양행,기초 화학물질 제조업,"41,196,365","20,598,182,500"
12690,모나리자,기타 종이 및 판지 제품 제조업,"36,571,255","18,885,627,500"
12750,에스원,"경비, 경호 및 탐정업","37,999,178","18,999,589,000"
12800,대창,1차 비철금속 제조업,"91,140,499","45,570,249,500"
13000,세우글로벌,기타 전문 도매업,"28,705,031","14,352,515,500"
13360,일성건설,토목 건설업,"54,024,880","27,012,440,000"
13520,화승알앤에이,자동차 신품 부품 제조업,"64,561,210","32,280,605,000"
13580,계룡건설산업,토목 건설업,"8,930,907","44,654,535,000"
13700,까뮤이앤씨,건물 건설업,"45,152,280","22,576,140,000"
13870,지엠비코리아,자동차 신품 부품 제조업,"19,072,280","9,536,140,000"
13890,지누스,가구 제조업,"14,406,749","7,203,374,500"
14130,한익스프레스,도로 화물 운송업,"12,000,000","6,000,000,000"
14160,대영포장,"골판지, 종이 상자 및 종이용기 제조업","108,394,549","54,197,274,500"
14280,금강공업,1차 철강 제조업,"26,159,553","26,749,428,000"
14440,영보화학,플라스틱제품 제조업,"20,000,000","10,000,000,000"
14530,극동유화,석유 정제품 제조업,"34,869,420","17,434,710,000"
14580,태경비케이,"시멘트, 석회, 플라스터 및 그 제품 제조업","27,583,100","13,791,550,000"
14680,한솔케미칼,기초 화학물질 제조업,"11,295,195","56,475,975,000"
14710,사조씨푸드,수산물 가공 및 저장 처리업,"17,218,543","17,218,543,000"
14790,한라,토목 건설업,"38,874,942","194,374,710,000"
