CODE,NAME,SECT.,STOCK NO.,CAPT.,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
002870,신풍제지,"펄프, 종이 및 판지 제조업","34,958,700","17,479,350,000",1520.0,6.23,244.0,N/A,N/A,0.71,2135.0,3.95
002880,대유에이텍,자동차 신품 부품 제조업,"106,915,987","53,457,993,500",666.0,41.62,16.0,N/A,N/A,0.7,951.0,N/A
002900,동양물산기업,특수 목적용 기계 제조업,"126,004,610","63,002,305,000",1165.0,28.41,41.0,N/A,N/A,1.25,929.0,N/A
002920,유성기업,자동차 신품 부품 제조업,"25,947,500","12,973,750,000",2500.0,4.76,525.0,N/A,N/A,0.24,10615.0,8.0
002960,한국쉘석유,석유 정제품 제조업,"1,300,000","7,000,000,000",235000.0,13.4,17532.0,N/A,N/A,3.64,64533.0,6.81
002990,금호산업,건물 건설업,"36,633,924","184,630,950,000",7460.0,5.27,1416.0,4.0,1706.0,0.7,10609.0,6.7
003000,부광약품,의약품 제조업,"64,837,978","33,289,457,500",37700.0,N/A,-166.0,N/A,N/A,8.21,4592.0,0.51
003010,혜인,기계장비 및 관련 물품 도매업,"12,712,747","6,356,373,500",5120.0,116.36,44.0,N/A,N/A,0.56,9094.0,1.17
003060,에이프로젠제약,의약품 제조업,"398,575,766","199,287,883,000",1520.0,760.0,2.0,N/A,N/A,1.62,937.0,N/A
003070,코오롱글로벌,토목 건설업,"25,210,438","127,616,205,000",10150.0,4.92,2064.0,3.0,2918.0,0.54,18855.0,3.45
003080,성보화학,"비료, 농약 및 살균, 살충제 제조업","20,020,000","10,010,000,000",4580.0,N/A,-125.0,N/A,N/A,0.61,7499.0,2.95
003120,일성신약,의약품 제조업,"2,660,000","13,300,000,000",84700.0,32.65,2594.0,N/A,N/A,0.38,224106.0,0.88
003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","31,496,785","17,248,392,500",4380.0,N/A,-34.0,N/A,N/A,0.96,4564.0,1.14
003200,일신방직,방적 및 가공사 제조업,"2,400,000","12,000,000,000",69300.0,20.15,3440.0,N/A,N/A,0.22,309340.0,2.16
003220,대원제약,의약품 제조업,"20,243,603","10,121,801,500",21650.0,15.16,1428.0,N/A,N/A,2.1,10325.0,1.17
003230,삼양식품,기타 식품 제조업,"7,533,015","37,665,075,000",126500.0,13.52,9356.0,12.0,10909.0,3.19,39655.0,0.63
003240,태광산업,화학섬유 제조업,"1,113,400","5,567,000,000",688000.0,4.34,158691.0,N/A,N/A,0.18,3826294.0,0.22
003280,흥아해운,해상 운송업,"116,732,559","58,366,279,500",258.0,N/A,-496.0,N/A,N/A,1.05,246.0,N/A
003300,한일홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업","5,994,356","31,342,450,000",46500.0,11.0,4229.0,N/A,N/A,0.28,163851.0,4.95
003350,한국화장품제조,기타 화학제품 제조업,"4,532,000","2,266,000,000",42700.0,N/A,-320.0,N/A,N/A,3.22,13260.0,0.23
003410,쌍용양회공업,"시멘트, 석회, 플라스터 및 그 제품 제조업","503,859,595","505,403,280,000",5290.0,19.45,272.0,17.0,303.0,1.52,3484.0,7.94
003460,유화증권,금융 지원 서비스업,"56,702,415","74,178,840,000",2205.0,66.82,33.0,N/A,N/A,0.3,7345.0,5.44
003470,유안타증권,금융 지원 서비스업,"199,596,576","1,062,543,940,000",3280.0,10.79,304.0,N/A,N/A,0.53,6232.0,N/A
003480,한진중공업홀딩스,연료용 가스 제조 및 배관공급업,"29,529,812","155,149,060,000",3540.0,3.21,1104.0,N/A,N/A,0.27,13224.0,N/A
003490,대한항공,항공 여객 운송업,"174,209,713","876,602,535,000",19100.0,N/A,-11212.0,-4.0,-4471.0,1.16,16521.0,N/A
003520,영진약품,의약품 제조업,"182,892,731","91,446,365,500",6610.0,236.07,28.0,N/A,N/A,10.28,643.0,N/A
003530,한화투자증권,금융 지원 서비스업,"214,547,775","1,096,738,875,000",1920.0,12.0,160.0,N/A,N/A,0.37,5129.0,N/A
003540,대신증권,금융 지원 서비스업,"50,773,400","434,867,000,000",11000.0,9.87,1115.0,N/A,N/A,0.38,29124.0,9.09
003560,아이에이치큐,"영화, 비디오물, 방송프로그램 제작 및 배급업","146,235,748","73,117,874,000",1470.0,N/A,-495.0,N/A,N/A,1.61,911.0,N/A
003570,S&T중공업,자동차 신품 부품 제조업,"33,252,697","85,631,742,500",5010.0,10.68,469.0,N/A,N/A,0.22,23147.0,5.99
003580,넥스트사이언스,기타 비금속광물 광업,"32,012,942","16,006,471,000",5010.0,N/A,-784.0,N/A,N/A,1.75,2866.0,N/A
003610,방림,직물직조 및 직물제품 제조업,"42,314,090","21,157,045,000",1735.0,14.96,116.0,N/A,N/A,0.36,4885.0,2.31
003620,쌍용자동차,자동차용 엔진 및 자동차 제조업,"149,840,002","749,200,010,000",3700.0,N/A,-3395.0,N/A,N/A,2.64,1401.0,N/A
003650,미창석유공업,석유 정제품 제조업,"1,739,672","8,698,360,000",58700.0,7.71,7615.0,N/A,N/A,0.35,167589.0,3.41
003670,포스코케미칼,"내화, 비내화 요업제품 제조업","60,988,220","30,494,110,000",96000.0,71.06,1351.0,114.0,841.0,5.92,16206.0,0.42
003680,한성기업,수산물 가공 및 저장 처리업,"6,209,515","31,047,575,000",16000.0,N/A,-2589.0,N/A,N/A,1.83,8738.0,N/A
003690,코리안리,재 보험업,"120,369,116","60,184,558,000",7070.0,5.12,1380.0,N/A,N/A,0.32,22047.0,7.07
003720,삼영화학공업,플라스틱제품 제조업,"34,000,000","17,000,000,000",1670.0,N/A,-31.0,N/A,N/A,1.29,1295.0,N/A
003780,진양산업,플라스틱제품 제조업,"13,000,000","6,500,000,000",3700.0,7.01,528.0,N/A,N/A,1.18,3138.0,5.41
003830,대한화섬,화학섬유 제조업,"1,328,000","6,640,000,000",85700.0,4.48,19110.0,N/A,N/A,0.18,483302.0,0.48
003850,보령제약,의약품 제조업,"47,620,000","23,810,000,000",17300.0,24.13,717.0,N/A,N/A,2.53,6830.0,0.58
003920,남양유업,낙농제품 및 식용빙과류 제조업,"720,000","4,433,310,000",302000.0,N/A,-3341.0,N/A,N/A,0.29,1045090.0,0.33
003960,사조대림,수산물 가공 및 저장 처리업,"9,164,467","45,822,335,000",15000.0,1.53,9782.0,N/A,N/A,0.35,42880.0,1.0
004000,롯데정밀화학,기초 화학물질 제조업,"25,800,000","129,000,000,000",46400.0,7.02,6612.0,7.0,6848.0,0.79,58617.0,3.66
004020,현대제철,1차 철강 제조업,"133,445,785","667,228,925,000",25900.0,N/A,-1590.0,-31.0,-844.0,0.21,124463.0,2.9
004060,SG세계물산,상품 종합 도매업,"202,424,960","101,212,480,000",607.0,26.39,23.0,N/A,N/A,0.62,977.0,N/A
004080,신흥,기계장비 및 관련 물품 도매업,"9,600,000","6,733,070,000",9130.0,11.71,780.0,N/A,N/A,0.94,9726.0,2.19
004090,한국석유공업,기타 비금속 광물제품 제조업,"655,200","3,276,000,000",98100.0,N/A,-11649.0,N/A,N/A,0.44,221944.0,1.53
